ts,hotTop,outdoor,cold,supply,powerW,room,rh,setpoint,dew,status,season,rssi,kwhDay
2026-06-12 14:00:17,,,,,0,,,24.5,,HEAT,summer,-81,
2026-06-12 14:14:27,,,,,0,,,24.5,,HEAT,summer,-80,
2026-06-12 14:15:00,,,,,0,,,24.5,,HEAT,summer,-80,
2026-06-12 16:09:29,,,,,0,,,22.5,,HEAT,winter,-105,
2026-06-13 02:06:52,,,,,0,,,22.5,,HEAT,winter,-25,
2026-06-13 02:07:20,,,,,0,,,22.5,,HEAT,winter,-32,
2026-06-13 12:35:52,,,,,0,,,22.5,,HEAT,summer,-63,
2026-06-13 12:47:09,,,,,0,,,24.0,,HEAT,winter,-65,
2026-06-13 13:17:41,,,,,0,,,20.5,,HEAT,winter,-61,
2026-06-13 16:11:03,,,,,0,,,20.5,,HEAT,winter,-51,
2026-06-13 16:17:45,,,,,0,25.9,,22.5,,HEAT,winter,-63,
2026-06-13 16:32:29,,,,,0,25.8,,26.5,,HEAT,winter,-107,
2026-06-13 16:33:37,,,,,0,25.8,,26.5,,HEAT,winter,-102,
2026-06-13 16:33:44,,,,,0,25.8,,26.5,,HEAT,winter,-95,
2026-06-13 16:34:15,,,,,0,25.8,,26.5,,HEAT,winter,-104,
2026-06-13 16:36:27,,,,,0,25.6,,26.5,,HEAT,winter,-93,
2026-06-13 17:12:30,,,,,0,25.6,,28.0,,HEAT,winter,-93,
2026-06-13 17:13:50,,,,,0,25.7,,25.5,,HEAT,summer,-93,
2026-06-13 18:35:26,,,,,0,25.3,,22.0,,HEAT,summer,-61,
2026-06-14 01:51:36,,,,,0,25.6,,25.0,,HEAT,summer,-29,
2026-06-14 14:18:53,,,,,54,27.0,,25.0,,HEAT,summer,-34,0.0
2026-06-14 14:27:32,,,,,46,27.1,,25.0,,HEAT,summer,-39,0.0
2026-06-14 14:27:54,,,,,60,27.1,,25.0,,HEAT,summer,-36,0.0
2026-06-14 14:44:24,,,,,56,27.0,,25.0,,HEAT,summer,-43,0.0
2026-06-14 17:55:55,,,,,21,26.9,,25.0,,HEAT,summer,-48,0.1
2026-06-14 18:34:12,,,,,20,27.1,,25.0,,HEAT,summer,-54,0.2
2026-06-14 19:00:15,,,,,20,27.1,,25.0,,HEAT,summer,-54,0.2
2026-06-14 20:17:31,,,,,68,27.1,,25.0,,HEAT,summer,-93,0.2
2026-06-18 23:12:54,29.1,28.9,28.6,34.4,16,27.9,,21.5,,HEAT,summer,-49,0.1
2026-06-18 23:25:46,28.4,29.0,27.8,27.9,15,27.7,,21.5,,HEAT,summer,-46,0.1
2026-06-19 01:41:49,27.9,27.9,27.9,27.9,0,27.4,,23.0,,HEAT,winter,-50,0.0
2026-06-19 07:21:01,30.2,30.3,29.9,30.3,0,30.1,,23.0,,HEAT,winter,-51,0.0
2026-06-19 07:22:02,30.3,30.4,29.9,30.3,0,30.1,,24.5,,HEAT,winter,-51,0.0
2026-06-19 09:16:36,29.2,29.6,28.9,29.7,0,30.1,,24.5,,HEAT,winter,-44,0.0
2026-06-19 09:17:49,29.2,29.6,28.9,29.6,0,30.2,,26.0,,HEAT,summer,-45,0.0
